Ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
124,14535,66256,35043,31213,7410,3973,3437,7953,4296,3657,0,0,0,52054,28815,23239,14202,6228,7974,22507,17878,4629,21400,17112,4288,30,27,3,86,74,12,398,322,76,20886,16689,4197,1107,766,341,20,11,9,14,11,3,20,12,8,1053,732,321,1054,727,327,20,11,9,13,11,2,18,12,6,1003,693,310,53,39,14,0,0,0,1,0,1,2,0,2,50,39,11,43749,17165,26584
123,11596,52975,27437,25538,5745,3024,2721,10134,5345,4789,0,0,0,40766,22068,18698,12209,5369,6840,19614,14810,4804,18540,14070,4470,19,15,4,62,52,10,512,405,107,17947,13598,4349,1074,740,334,15,1,14,8,7,1,36,14,22,1015,718,297,782,522,260,15,1,14,7,6,1,34,13,21,726,502,224,292,218,74,0,0,0,1,1,0,2,1,1,289,216,73,33361,12627,20734
122,27484,145715,78286,67429,21536,11295,10241,18380,9748,8632,0,0,0,100306,59545,40761,45409,18741,26668,41595,38121,3474,39451,36535,2916,376,354,22,439,368,71,1384,1054,330,37252,34759,2493,2144,1586,558,44,30,14,91,61,30,111,59,52,1898,1436,462,1796,1339,457,42,29,13,81,54,27,87,46,41,1586,1210,376,348,247,101,2,1,1,10,7,3,24,13,11,312,226,86,104120,40165,63955
121,25395,130978,70142,60836,17571,9344,8227,17504,9322,8182,0,0,0,95251,54917,40334,35727,15225,20502,39016,35234,3782,37550,34170,3380,211,203,8,503,402,101,925,793,132,35911,32772,3139,1466,1064,402,17,9,8,66,39,27,87,53,34,1296,963,333,1208,870,338,17,9,8,58,33,25,76,48,28,1057,780,277,258,194,64,0,0,0,8,6,2,11,5,6,239,183,56,91962,34908,57054
120,12353,64252,34709,29543,8631,4628,4003,7366,3890,3476,0,0,0,46782,27462,19320,17470,7247,10223,19772,17793,1979,18945,17185,1760,20,17,3,29,26,3,669,569,100,18227,16573,1654,827,608,219,17,11,6,4,4,0,35,23,12,771,570,201,697,504,193,16,10,6,3,3,0,28,20,8,650,471,179,130,104,26,1,1,0,1,1,0,7,3,4,121,99,22,44480,16916,27564
119,13807,65247,34144,31103,6633,3639,2994,4744,2501,2243,0,0,0,54649,29282,25367,10598,4862,5736,22053,18243,3810,21065,17606,3459,13,8,5,58,47,11,626,538,88,20368,17013,3355,988,637,351,23,10,13,7,3,4,35,20,15,923,604,319,811,501,310,22,10,12,7,3,4,30,15,15,752,473,279,177,136,41,1,0,1,0,0,0,5,5,0,171,131,40,43194,15901,27293
118,7680,40639,24529,16110,2362,1206,1156,2285,1651,634,0,0,0,35412,21377,14035,5227,3152,2075,16850,13246,3604,16083,12606,3477,44,43,1,81,63,18,569,514,55,15389,11986,3403,767,640,127,27,24,3,15,14,1,28,27,1,697,575,122,596,501,95,27,24,3,11,11,0,25,24,1,533,442,91,171,139,32,0,0,0,4,3,1,3,3,0,164,133,31,23789,11283,12506
117,11597,50472,26020,24452,4295,2352,1943,2801,1473,1328,0,0,0,43989,22977,21012,6483,3043,3440,18500,13912,4588,18054,13729,4325,13,9,4,49,37,12,679,573,106,17313,13110,4203,446,183,263,3,2,1,6,1,5,145,3,142,292,177,115,385,143,242,2,1,1,4,1,3,145,3,142,234,138,96,61,40,21,1,1,0,2,0,2,0,0,0,58,39,19,31972,12108,19864
116,10051,45179,23087,22092,4352,2303,2049,8615,4332,4283,0,0,0,36599,19393,17206,8580,3694,4886,16547,12467,4080,15936,12100,3836,19,16,3,64,40,24,457,417,40,15396,11627,3769,611,367,244,5,4,1,3,1,2,7,6,1,596,356,240,556,333,223,5,4,1,3,1,2,6,5,1,542,323,219,55,34,21,0,0,0,0,0,0,1,1,0,54,33,21,28632,10620,18012
115,12158,57655,31087,26568,6631,3526,3105,3979,2102,1877,0,0,0,44783,25052,19731,12872,6035,6837,19903,17528,2375,19009,16908,2101,30,26,4,20,19,1,735,636,99,18224,16227,1997,894,620,274,9,4,5,5,5,0,65,34,31,815,577,238,710,495,215,9,4,5,4,4,0,44,24,20,653,463,190,184,125,59,0,0,0,1,1,0,21,10,11,162,114,48,37752,13559,24193
114,11166,49071,25283,23788,4113,2241,1872,1634,880,754,0,0,0,42597,22182,20415,6474,3101,3373,17652,14017,3635,16772,13418,3354,22,18,4,70,57,13,537,481,56,16143,12862,3281,880,599,281,8,4,4,30,28,2,22,15,7,820,552,268,788,555,233,8,4,4,14,12,2,20,14,6,746,525,221,92,44,48,0,0,0,16,16,0,2,1,1,74,27,47,31419,11266,20153
113,10393,46141,23986,22155,4005,2114,1891,3120,1696,1424,0,0,0,38854,20684,18170,7287,3302,3985,17022,13355,3667,16028,12663,3365,12,6,6,30,21,9,767,685,82,15219,11951,3268,994,692,302,6,3,3,4,4,0,23,17,6,961,668,293,716,502,214,6,3,3,4,4,0,16,14,2,690,481,209,278,190,88,0,0,0,0,0,0,7,3,4,271,187,84,29119,10631,18488
112,10224,46251,24175,22076,4231,2284,1947,2224,1200,1024,0,0,0,39164,20777,18387,7087,3398,3689,16438,13414,3024,16005,13145,2860,28,23,5,24,19,5,398,366,32,15555,12737,2818,433,269,164,3,2,1,4,2,2,19,10,9,407,255,152,377,230,147,3,2,1,4,2,2,18,9,9,352,217,135,56,39,17,0,0,0,0,0,0,1,1,0,55,38,17,29813,10761,19052
111,12963,52346,29172,23174,5439,2841,2598,5631,3413,2218,0,0,0,40969,23592,17377,11377,5580,5797,20905,17414,3491,20021,16715,3306,12,8,4,56,46,10,838,749,89,19115,15912,3203,884,699,185,8,4,4,2,1,1,24,16,8,850,678,172,704,558,146,8,4,4,2,1,1,17,12,5,677,541,136,180,141,39,0,0,0,0,0,0,7,4,3,173,137,36,31441,11758,19683
110,10222,45147,23847,21300,4137,2215,1922,4831,2704,2127,0,0,0,38320,20786,17534,6827,3061,3766,16514,12866,3648,16065,12567,3498,19,13,6,55,28,27,656,490,166,15335,12036,3299,449,299,150,3,1,2,3,3,0,8,6,2,435,289,146,407,284,123,3,1,2,3,3,0,8,6,2,393,274,119,42,15,27,0,0,0,0,0,0,0,0,0,42,15,27,28633,10981,17652
109,11012,47206,24154,23052,3784,2030,1754,1828,940,888,0,0,0,41704,21428,20276,5502,2726,2776,17922,13190,4732,17486,12907,4579,21,15,6,49,33,16,694,609,85,16722,12250,4472,436,283,153,9,2,7,9,6,3,23,13,10,395,262,133,368,234,134,9,2,7,9,6,3,22,12,10,328,214,114,68,49,19,0,0,0,0,0,0,1,1,0,67,48,19,29284,10964,18320
108,11676,58972,31249,27723,6805,3631,3174,5885,3057,2828,0,0,0,44046,24244,19802,14926,7005,7921,18980,16718,2262,18670,16501,2169,22,18,4,17,11,6,1018,952,66,17613,15520,2093,310,217,93,5,1,4,1,0,1,17,9,8,287,207,80,244,177,67,5,1,4,1,0,1,14,8,6,224,168,56,66,40,26,0,0,0,0,0,0,3,1,2,63,39,24,39992,14531,25461
107,11886,58408,30703,27705,6671,3654,3017,8889,4619,4270,0,0,0,45994,25058,20936,12414,5645,6769,19124,16410,2714,18157,15754,2403,16,15,1,41,34,7,731,688,43,17369,15017,2352,967,656,311,10,4,6,5,4,1,25,14,11,927,634,293,825,556,269,9,4,5,2,1,1,23,13,10,791,538,253,142,100,42,1,0,1,3,3,0,2,1,1,136,96,40,39284,14293,24991
106,9252,45062,23954,21108,5261,2732,2529,8608,4627,3981,0,0,0,31337,17722,13615,13725,6232,7493,16026,13053,2973,15659,12810,2849,14,12,2,18,15,3,538,479,59,15089,12304,2785,367,243,124,7,2,5,1,1,0,7,5,2,352,235,117,290,199,91,7,2,5,1,1,0,4,2,2,278,194,84,77,44,33,0,0,0,0,0,0,3,3,0,74,41,33,29036,10901,18135
105,9970,43740,22342,21398,3266,1811,1455,931,486,445,0,0,0,39242,20060,19182,4498,2282,2216,16755,12771,3984,16445,12584,3861,12,8,4,30,24,6,437,385,52,15966,12167,3799,310,187,123,7,5,2,2,1,1,5,4,1,296,177,119,277,168,109,7,5,2,2,1,1,4,3,1,264,159,105,33,19,14,0,0,0,0,0,0,1,1,0,32,18,14,26985,9571,17414
104,9814,48748,25461,23287,5384,2901,2483,28018,14438,13580,0,0,0,36879,20425,16454,11869,5036,6833,16483,13688,2795,16034,13439,2595,14,13,1,13,10,3,761,420,341,15246,12996,2250,449,249,200,9,5,4,1,1,0,29,12,17,410,231,179,362,199,163,9,5,4,1,1,0,22,10,12,330,183,147,87,50,37,0,0,0,0,0,0,7,2,5,80,48,32,32265,11773,20492
103,10237,49968,26501,23467,4756,2566,2190,10220,5331,4889,0,0,0,40304,22018,18286,9664,4483,5181,18915,15565,3350,18258,15177,3081,41,30,11,160,133,27,1462,1335,127,16595,13679,2916,657,388,269,13,10,3,18,11,7,39,20,19,587,347,240,553,309,244,13,10,3,14,7,7,31,16,15,495,276,219,104,79,25,0,0,0,4,4,0,8,4,4,92,71,21,31053,10936,20117
102,12423,62412,33340,29072,8614,4560,4054,15209,7915,7294,0,0,0,38756,22790,15966,23656,10550,13106,22816,18242,4574,21794,17600,4194,19,13,6,25,21,4,512,414,98,21238,17152,4086,1022,642,380,4,3,1,4,4,0,42,20,22,972,615,357,856,547,309,4,3,1,3,3,0,28,13,15,821,528,293,166,95,71,0,0,0,1,1,0,14,7,7,151,87,64,39596,15098,24498
101,12878,58914,31605,27309,6042,3310,2732,10999,5757,5242,0,0,0,47561,26391,21170,11353,5214,6139,21680,18017,3663,21002,17495,3507,18,14,4,126,116,10,738,664,74,20120,16701,3419,678,522,156,5,5,0,2,2,0,13,10,3,658,505,153,546,404,142,4,4,0,2,2,0,11,8,3,529,390,139,132,118,14,1,1,0,0,0,0,2,2,0,129,115,14,37234,13588,23646
100,11297,49621,28509,21112,5498,2862,2636,5567,3359,2208,0,0,0,33857,20216,13641,15764,8293,7471,19531,17199,2332,17906,15772,2134,16,12,4,23,22,1,372,334,38,17495,15404,2091,1625,1427,198,3,2,1,1,1,0,12,7,5,1609,1417,192,972,809,163,3,2,1,1,1,0,10,5,5,958,801,157,653,618,35,0,0,0,0,0,0,2,2,0,651,616,35,30090,11310,18780
99,10864,51855,27361,24494,4748,2588,2160,3419,1848,1571,0,0,0,43578,23475,20103,8277,3886,4391,18829,15467,3362,17785,14747,3038,28,22,6,50,43,7,711,635,76,16996,14047,2949,1044,720,324,20,10,10,13,2,11,24,10,14,987,698,289,949,655,294,19,9,10,13,2,11,14,7,7,903,637,266,95,65,30,1,1,0,0,0,0,10,3,7,84,61,23,33026,11894,21132
98,11165,48877,28283,20594,5373,2875,2498,7054,4343,2711,0,0,0,35219,21566,13653,13658,6717,6941,19125,16978,2147,18344,16287,2057,4,4,0,14,14,0,474,435,39,17852,15834,2018,781,691,90,6,3,3,0,0,0,11,9,2,764,679,85,594,514,80,6,3,3,0,0,0,10,8,2,578,503,75,187,177,10,0,0,0,0,0,0,1,1,0,186,176,10,29752,11305,18447
97,12254,53498,29187,24311,5161,2695,2466,3803,2334,1469,0,0,0,43733,24593,19140,9765,4594,5171,20568,17441,3127,20119,17091,3028,23,16,7,46,36,10,612,565,47,19438,16474,2964,449,350,99,5,3,2,0,0,0,12,9,3,432,338,94,351,269,82,4,3,1,0,0,0,11,8,3,336,258,78,98,81,17,1,0,1,0,0,0,1,1,0,96,80,16,32930,11746,21184
96,11274,53541,27955,25586,5161,2765,2396,8843,4508,4335,0,0,0,43496,23387,20109,10045,4568,5477,19600,15614,3986,18585,15014,3571,23,18,5,52,46,6,924,794,130,17586,14156,3430,1015,600,415,7,6,1,3,3,0,59,16,43,946,575,371,909,540,369,7,6,1,3,3,0,39,13,26,860,518,342,106,60,46,0,0,0,0,0,0,20,3,17,86,57,29,33941,12341,21600
95,12252,56396,29363,27033,5616,3029,2587,15670,8061,7609,0,0,0,46216,24915,21301,10180,4448,5732,20350,16651,3699,19691,16184,3507,24,18,6,33,28,5,1214,1087,127,18420,15051,3369,659,467,192,12,5,7,7,4,3,27,19,8,613,439,174,555,399,156,11,4,7,7,4,3,21,15,6,516,376,140,104,68,36,1,1,0,0,0,0,6,4,2,97,63,34,36046,12712,23334
94,13222,63810,35000,28810,8419,4453,3966,12561,6809,5752,0,0,0,46418,27346,19072,17392,7654,9738,21524,19067,2457,20824,18602,2222,21,18,3,64,57,7,352,302,50,20387,18225,2162,700,465,235,13,8,5,3,2,1,20,9,11,664,446,218,615,405,210,13,8,5,2,1,1,17,8,9,583,388,195,85,60,25,0,0,0,1,1,0,3,1,2,81,58,23,42286,15933,26353
93,10378,48514,26229,22285,5704,3054,2650,11097,5830,5267,0,0,0,37272,21437,15835,11242,4792,6450,16456,14346,2110,15836,13924,1912,7,5,2,17,17,0,327,294,33,15485,13608,1877,620,422,198,8,2,6,12,12,0,23,10,13,577,398,179,518,350,168,7,2,5,12,12,0,14,6,8,485,330,155,102,72,30,1,0,1,0,0,0,9,4,5,92,68,24,32058,11883,20175
92,10733,52078,27069,25009,5690,3137,2553,37491,19071,18420,0,0,0,40656,22171,18485,11422,4898,6524,17747,15231,2516,16872,14668,2204,17,15,2,30,23,7,1074,929,145,15751,13701,2050,875,563,312,8,2,6,7,5,2,53,23,30,807,533,274,749,482,267,8,2,6,7,5,2,44,17,27,690,458,232,126,81,45,0,0,0,0,0,0,9,6,3,117,75,42,34331,11838,22493
91,11234,51177,27623,23554,4855,2606,2249,16018,8157,7861,0,0,0,42142,23205,18937,9035,4418,4617,20412,17141,3271,19282,16459,2823,17,13,4,55,43,12,1440,1299,141,17770,15104,2666,1130,682,448,11,3,8,2,1,1,78,51,27,1039,627,412,1019,618,401,11,3,8,1,1,0,72,50,22,935,564,371,111,64,47,0,0,0,1,0,1,6,1,5,104,63,41,30765,10482,20283
90,10136,47537,25737,21800,5029,2690,2339,17255,9014,8241,0,0,0,35891,20442,15449,11646,5295,6351,17737,14989,2748,16687,14297,2390,18,15,3,51,46,5,579,487,92,16039,13749,2290,1050,692,358,10,6,4,5,3,2,55,31,24,980,652,328,891,581,310,10,6,4,5,3,2,39,22,17,837,550,287,159,111,48,0,0,0,0,0,0,16,9,7,143,102,41,29800,10748,19052
89,9948,47987,25152,22835,4674,2512,2162,9913,5078,4835,0,0,0,38161,20736,17425,9826,4416,5410,17315,14251,3064,15600,13126,2474,15,13,2,24,18,6,561,456,105,15000,12639,2361,1715,1125,590,22,9,13,15,11,4,46,30,16,1632,1075,557,1635,1067,568,22,9,13,15,11,4,43,28,15,1555,1019,536,80,58,22,0,0,0,0,0,0,3,2,1,77,56,21,30672,10901,19771
88,10630,58083,30402,27681,7219,3810,3409,12577,6438,6139,0,0,0,38932,21139,17793,19151,9263,9888,18831,16980,1851,17833,16280,1553,12,9,3,40,36,4,1242,1054,188,16539,15181,1358,998,700,298,14,6,8,6,5,1,41,31,10,937,658,279,844,572,272,14,6,8,6,5,1,40,30,10,784,531,253,154,128,26,0,0,0,0,0,0,1,1,0,153,127,26,39252,13422,25830
87,9315,48490,26142,22348,6430,3360,3070,20414,10622,9792,0,0,0,32696,18751,13945,15794,7391,8403,15875,14384,1491,14991,13695,1296,9,8,1,27,27,0,1032,942,90,13923,12718,1205,884,689,195,10,6,4,15,9,6,28,18,10,831,656,175,785,620,165,10,6,4,11,9,2,25,17,8,739,588,151,99,69,30,0,0,0,4,0,4,3,1,2,92,68,24,32615,11758,20857
86,7940,40801,21402,19399,4460,2344,2116,2171,1110,1061,0,0,0,32263,17140,15123,8538,4262,4276,13781,12397,1384,13190,12003,1187,30,19,11,21,16,5,792,735,57,12347,11233,1114,591,394,197,8,4,4,2,0,2,18,13,5,563,377,186,540,353,187,8,4,4,2,0,2,17,12,5,513,337,176,51,41,10,0,0,0,0,0,0,1,1,0,50,40,10,27020,9005,18015
85,8852,43834,23005,20829,5105,2633,2472,11368,5864,5504,0,0,0,31216,16968,14248,12618,6037,6581,15023,13563,1460,14137,12938,1199,9,6,3,36,35,1,967,803,164,13125,12094,1031,886,625,261,2,1,1,10,8,2,59,37,22,815,579,236,701,493,208,2,1,1,8,6,2,50,33,17,641,453,188,185,132,53,0,0,0,2,2,0,9,4,5,174,126,48,28811,9442,19369
84,8443,46770,24423,22347,5860,2996,2864,1704,913,791,0,0,0,32865,17429,15436,13905,6994,6911,14739,13513,1226,13918,12988,930,33,25,8,59,52,7,657,620,37,13169,12291,878,821,525,296,13,8,5,5,4,1,31,20,11,772,493,279,774,495,279,13,8,5,5,4,1,30,19,11,726,464,262,47,30,17,0,0,0,0,0,0,1,1,0,46,29,17,32031,10910,21121
83,7840,41723,21635,20088,4808,2527,2281,2009,1080,929,0,0,0,31209,16360,14849,10514,5275,5239,13655,12294,1361,12838,11707,1131,18,12,6,23,20,3,854,788,66,11943,10887,1056,817,587,230,11,7,4,3,2,1,48,32,16,755,546,209,676,474,202,11,7,4,3,2,1,43,30,13,619,435,184,141,113,28,0,0,0,0,0,0,5,2,3,136,111,25,28068,9341,18727
82,9284,47334,24766,22568,5072,2605,2467,12212,6302,5910,0,0,0,35988,19494,16494,11346,5272,6074,16264,14559,1705,15473,13994,1479,12,10,2,23,22,1,958,849,109,14480,13113,1367,791,565,226,4,2,2,1,1,0,93,37,56,693,525,168,605,445,160,4,2,2,1,1,0,58,32,26,542,410,132,186,120,66,0,0,0,0,0,0,35,5,30,151,115,36,31070,10207,20863
81,7286,35513,19422,16091,4158,2140,2018,5518,2839,2679,0,0,0,23765,13291,10474,11748,6131,5617,13684,11500,2184,12673,10805,1868,16,13,3,29,23,6,513,295,218,12115,10474,1641,1011,695,316,10,5,5,12,6,6,54,24,30,935,660,275,844,564,280,10,5,5,12,6,6,42,19,23,780,534,246,167,131,36,0,0,0,0,0,0,12,5,7,155,126,29,21829,7922,13907
80,9085,38274,21487,16787,3444,1863,1581,7154,3872,3282,0,0,0,30705,17488,13217,7569,3999,3570,15256,13457,1799,14275,12676,1599,11,8,3,258,166,92,863,753,110,13143,11749,1394,981,781,200,11,7,4,40,33,7,74,33,41,856,708,148,784,610,174,11,7,4,37,31,6,62,30,32,674,542,132,197,171,26,0,0,0,3,2,1,12,3,9,182,166,16,23018,8030,14988
79,10241,50452,26925,23527,5659,2826,2833,2832,1537,1295,0,0,0,37787,20243,17544,12665,6682,5983,17114,15414,1700,16404,14856,1548,43,36,7,35,30,5,1007,955,52,15319,13835,1484,710,558,152,10,7,3,7,6,1,23,17,6,670,528,142,617,480,137,10,7,3,5,4,1,17,13,4,585,456,129,93,78,15,0,0,0,2,2,0,6,4,2,85,72,13,33338,11511,21827
78,10078,48601,26359,22242,5155,2795,2360,14659,7722,6937,0,0,0,36515,20871,15644,12086,5488,6598,17593,14896,2697,16945,14402,2543,10,8,2,33,31,2,241,222,19,16661,14141,2520,648,494,154,5,3,2,2,2,0,10,2,8,631,487,144,555,428,127,5,3,2,0,0,0,6,1,5,544,424,120,93,66,27,0,0,0,2,2,0,4,1,3,87,63,24,31008,11463,19545
77,3768,15288,8732,6556,1369,724,645,3073,1679,1394,0,0,0,11597,6800,4797,3691,1932,1759,6314,5380,934,6061,5173,888,12,11,1,17,13,4,141,133,8,5891,5016,875,253,207,46,3,3,0,11,6,5,4,4,0,235,194,41,197,160,37,3,3,0,2,2,0,2,2,0,190,153,37,56,47,9,0,0,0,9,4,5,2,2,0,45,41,4,8974,3352,5622
76,9711,49939,26651,23288,5525,2962,2563,7676,3993,3683,0,0,0,38688,21219,17469,11251,5432,5819,17017,15326,1691,16585,15018,1567,25,23,2,11,10,1,788,744,44,15761,14241,1520,432,308,124,8,5,3,1,1,0,24,16,8,399,286,113,340,242,98,8,5,3,0,0,0,19,12,7,313,225,88,92,66,26,0,0,0,1,1,0,5,4,1,86,61,25,32922,11325,21597
75,12370,58471,31330,27141,5821,3190,2631,12647,6742,5905,0,0,0,47323,26449,20874,11148,4881,6267,20655,17386,3269,19748,16798,2950,42,35,7,45,41,4,951,835,116,18710,15887,2823,907,588,319,20,7,13,12,8,4,61,26,35,814,547,267,750,482,268,19,7,12,12,8,4,42,19,23,677,448,229,157,106,51,1,0,1,0,0,0,19,7,12,137,99,38,37816,13944,23872
74,10545,52773,28742,24031,6539,3489,3050,14642,8242,6400,0,0,0,37286,21410,15876,15487,7332,8155,17785,15964,1821,16992,15423,1569,13,11,2,31,29,2,618,558,60,16330,14825,1505,793,541,252,12,6,6,7,4,3,29,11,18,745,520,225,648,445,203,12,6,6,6,3,3,20,5,15,610,431,179,145,96,49,0,0,0,1,1,0,9,6,3,135,89,46,34988,12778,22210
73,11617,58477,31001,27476,5914,3286,2628,5363,2760,2603,0,0,0,49080,26760,22320,9397,4241,5156,18684,16502,2182,18234,16254,1980,17,14,3,64,52,12,1764,1649,115,16389,14539,1850,450,248,202,12,5,7,7,7,0,63,24,39,368,212,156,379,210,169,12,5,7,7,7,0,51,19,32,309,179,130,71,38,33,0,0,0,0,0,0,12,5,7,59,33,26,39793,14499,25294
72,7973,39032,20205,18827,3055,1634,1421,3826,2037,1789,0,0,0,33523,17675,15848,5509,2530,2979,14504,11828,2676,13887,11416,2471,22,15,7,23,18,5,725,672,53,13117,10711,2406,617,412,205,14,6,8,0,0,0,27,20,7,576,386,190,494,319,175,14,6,8,0,0,0,23,17,6,457,296,161,123,93,30,0,0,0,0,0,0,4,3,1,119,90,29,24528,8377,16151
71,10093,49447,27436,22011,6030,3196,2834,16384,8934,7450,0,0,0,32987,20015,12972,16460,7421,9039,17337,15258,2079,16731,14774,1957,14,12,2,124,118,6,200,148,52,16393,14496,1897,606,484,122,5,5,0,3,2,1,8,5,3,590,472,118,509,411,98,5,5,0,2,2,0,5,4,1,497,400,97,97,73,24,0,0,0,1,0,1,3,1,2,93,72,21,32110,12178,19932
70,9665,47862,24970,22892,4709,2478,2231,11156,5796,5360,0,0,0,38210,20697,17513,9652,4273,5379,16565,13889,2676,15854,13443,2411,12,10,2,33,26,7,794,732,62,15015,12675,2340,711,446,265,6,5,1,2,1,1,29,20,9,674,420,254,633,380,253,6,5,1,2,1,1,21,14,7,604,360,244,78,66,12,0,0,0,0,0,0,8,6,2,70,60,10,31297,11081,20216
69,9508,44888,23906,20982,4131,2272,1859,5496,2953,2543,0,0,0,37130,20301,16829,7758,3605,4153,16417,13772,2645,16071,13510,2561,46,42,4,53,41,12,770,717,53,15202,12710,2492,346,262,84,2,0,2,5,4,1,8,5,3,331,253,78,308,232,76,2,0,2,5,4,1,8,5,3,293,223,70,38,30,8,0,0,0,0,0,0,0,0,0,38,30,8,28471,10134,18337
68,12148,54212,31452,22760,5767,3004,2763,13299,8067,5232,0,0,0,37079,23370,13709,17133,8082,9051,21101,19023,2078,20080,18156,1924,15,15,0,163,151,12,378,330,48,19524,17660,1864,1021,867,154,22,19,3,25,22,3,12,6,6,962,820,142,889,756,133,21,18,3,24,21,3,10,4,6,834,713,121,132,111,21,1,1,0,1,1,0,2,2,0,128,107,21,33111,12429,20682
67,11408,50316,26535,23781,4623,2490,2133,3036,1614,1422,0,0,0,42853,23064,19789,7463,3471,3992,18190,14717,3473,17821,14501,3320,42,31,11,30,23,7,476,438,38,17273,14009,3264,369,216,153,7,2,5,3,1,2,8,3,5,351,210,141,302,170,132,6,2,4,3,1,2,8,3,5,285,164,121,67,46,21,1,0,1,0,0,0,0,0,0,66,46,20,32126,11818,20308
66,10242,47350,25017,22333,4486,2440,2046,10531,5707,4824,0,0,0,38396,20888,17508,8954,4129,4825,16641,13842,2799,16165,13537,2628,15,11,4,13,11,2,716,617,99,15421,12898,2523,476,305,171,6,5,1,9,4,5,26,10,16,435,286,149,376,250,126,6,5,1,8,3,5,18,8,10,344,234,110,100,55,45,0,0,0,1,1,0,8,2,6,91,52,39,30709,11175,19534
65,11405,56441,30158,26283,6928,3666,3262,18644,9783,8861,0,0,0,38717,22329,16388,17724,7829,9895,19436,16330,3106,18370,15506,2864,30,26,4,42,36,6,468,399,69,17830,15045,2785,1066,824,242,11,6,5,5,4,1,43,26,17,1007,788,219,774,575,199,11,6,5,4,3,1,40,23,17,719,543,176,292,249,43,0,0,0,1,1,0,3,3,0,288,245,43,37005,13828,23177
64,9403,49006,26603,22403,6557,3462,3095,18947,9883,9064,0,0,0,34460,20411,14049,14546,6192,8354,16016,14139,1877,15541,13775,1766,34,32,2,27,26,1,294,251,43,15186,13466,1720,475,364,111,6,4,2,4,4,0,10,8,2,455,348,107,397,300,97,5,3,2,3,3,0,7,5,2,382,289,93,78,64,14,1,1,0,1,1,0,3,3,0,73,59,14,32990,12464,20526
63,10353,51105,26668,24437,4907,2644,2263,6696,3463,3233,0,0,0,42553,22869,19684,8552,3799,4753,17826,14668,3158,17251,14278,2973,34,30,4,25,23,2,921,846,75,16271,13379,2892,575,390,185,8,7,1,4,3,1,21,17,4,542,363,179,480,317,163,7,6,1,2,1,1,18,14,4,453,296,157,95,73,22,1,1,0,2,2,0,3,3,0,89,67,22,33279,12000,21279
62,11845,55287,30626,24661,6322,3336,2986,7064,3833,3231,0,0,0,41300,23916,17384,13987,6710,7277,19755,17207,2548,18896,16595,2301,31,28,3,38,30,8,550,493,57,18277,16044,2233,859,612,247,10,6,4,10,8,2,29,8,21,810,590,220,653,460,193,10,6,4,9,7,2,10,3,7,624,444,180,206,152,54,0,0,0,1,1,0,19,5,14,186,146,40,35532,13419,22113
61,10379,51984,27803,24181,5392,3001,2391,826,438,388,0,0,0,43858,23979,19879,8126,3824,4302,16665,15038,1627,16259,14772,1487,11,11,0,19,14,5,1693,1624,69,14536,13123,1413,406,266,140,3,2,1,0,0,0,31,17,14,372,247,125,311,199,112,3,2,1,0,0,0,18,8,10,290,189,101,95,67,28,0,0,0,0,0,0,13,9,4,82,58,24,35319,12765,22554
60,9479,43618,22693,20925,3465,1897,1568,1927,1044,883,0,0,0,38076,19994,18082,5542,2699,2843,16268,12331,3937,15906,12110,3796,14,10,4,35,26,9,499,457,42,15358,11617,3741,362,221,141,6,1,5,7,4,3,8,6,2,341,210,131,300,179,121,6,1,5,7,4,3,6,5,1,281,169,112,62,42,20,0,0,0,0,0,0,2,1,1,60,41,19,27350,10362,16988
